Dataset_ID,ObservedBy_Person_ID,Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Plant_Nickname,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No,NumYs_in_Series,Multiple_Observers,Accum_Prcp,Daylength
'-9999','25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,87762,7141*A American basswood,371,Breaking leaf buds,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,1,0,472,52186
'-9999','25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,87763,17527*D American basswood,371,Breaking leaf buds,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,1,0,472,52186
'-9999','25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,86290,19804*A American basswood,467,Increasing leaf size,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,1,0,472,52186
'-9999','25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,87762,7141*A American basswood,467,Increasing leaf size,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,1,0,472,52186
'-9999','25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,87763,17527*D American basswood,467,Increasing leaf size,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,1,0,472,52186
'-9999','25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,86290,19804*A American basswood,483,Leaves,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,1,0,472,52186
'-9999','25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,87762,7141*A American basswood,483,Leaves,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,1,0,472,52186
'-9999','25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,87763,17527*D American basswood,483,Leaves,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,1,0,472,52186
'-9999','25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,86290,19804*A American basswood,500,Flowers or flower buds,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,1,0,472,52186
'-9999','25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,87762,7141*A American basswood,500,Flowers or flower buds,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,1,0,472,52186
'-9999','34757',20238,42.298065,-71.122131,21,MA,79,Fagus,grandifolia,American beech,Plantae,135911,American beech 22798*A,371,Breaking leaf buds,2014,4,22,112,2456770,-9999,2014,4,30,120,2456778,-9999,2,0,396,48384
'-9999','34757',20238,42.298065,-71.122131,21,MA,79,Fagus,grandifolia,American beech,Plantae,135911,American beech 22798*A,467,Increasing leaf size,2014,4,30,120,2456778,-9999,2014,4,30,120,2456778,-9999,1,0,418,49766
'-9999','34757',20238,42.298065,-71.122131,21,MA,79,Fagus,grandifolia,American beech,Plantae,135911,American beech 22798*A,483,Leaves,2014,4,30,120,2456778,-9999,2014,4,30,120,2456778,-9999,1,0,418,49766
