Partner_Group,Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,ITIS_Number,Individual_ID,Plant_Nickname,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,371,Breaking leaf buds,2016,4,13,104,2457492,2,2016,4,13,104,2457492,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,371,Breaking leaf buds,2016,4,18,109,2457497,4,2016,5,17,138,2457526,4
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,371,Breaking leaf buds,2016,5,26,147,2457535,3,2016,5,26,147,2457535,3
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,371,Breaking leaf buds,2016,5,30,151,2457539,1,2016,6,7,159,2457547,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85759,12843*A Yellow birch,371,Breaking leaf buds,2016,6,19,171,2457559,11,2016,6,19,171,2457559,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,371,Breaking leaf buds,2016,4,13,104,2457492,3,2016,4,13,104,2457492,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,371,Breaking leaf buds,2016,4,19,110,2457498,1,2016,4,19,110,2457498,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,371,Breaking leaf buds,2016,4,21,112,2457500,1,2016,5,23,144,2457532,3
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,371,Breaking leaf buds,2016,6,2,154,2457542,7,2016,6,7,159,2457547,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85761,12843*D Yellow birch,371,Breaking leaf buds,2016,6,13,165,2457553,5,2016,6,13,165,2457553,-9999
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,371,Breaking leaf buds,2016,4,8,99,2457487,2,2016,4,8,99,2457487,2
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,371,Breaking leaf buds,2016,4,11,102,2457490,1,2016,5,23,144,2457532,3
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,371,Breaking leaf buds,2016,6,2,154,2457542,7,2016,6,7,159,2457547,1
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85762,12843*E Yellow birch,371,Breaking leaf buds,2016,6,13,165,2457553,5,2016,6,13,165,2457553,6
Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,19481,85763,12843*H Yellow birch,371,Breaking leaf buds,2016,4,13,104,2457492,2,2016,4,13,104,2457492,1
