Individual_ID,tot.observations,tot.observers,Common_Name.y
A.flava1,487,10,yellow buckeye
A.flava2,654,11,yellow buckeye
A.flava3,684,13,yellow buckeye
A.flava4,698,15,yellow buckeye
A.flava5,1087,22,yellow buckeye
A.saccharum1,1372,19,sugar maple
A.saccharum2,1472,21,sugar maple
A.saccharum3,889,16,sugar maple
A.saccharum4,1039,19,sugar maple
A.saccharum5,773,14,sugar maple
B.alleghaniensis1,758,18,yellow birch
B.alleghaniensis2,643,16,yellow birch
B.alleghaniensis3,828,16,yellow birch
B.alleghaniensis4,703,15,yellow birch
B.alleghaniensis5,817,16,yellow birch
B.nigra1,796,17,river birch
B.nigra2,984,19,river birch
B.nigra3,1099,18,river birch
B.nigra4,564,12,river birch
B.nigra5,819,18,river birch
C.glabra1,297,9,pignut hickory
C.glabra2,229,7,pignut hickory
C.glabra3,258,7,pignut hickory
C.glabra4,240,7,pignut hickory
C.glabra5,449,10,pignut hickory
C.ovata1,291,8,shagbark hickory
C.ovata2,319,9,shagbark hickory
C.ovata3,482,12,shagbark hickory
C.ovata4,309,8,shagbark hickory
C.ovata5,330,12,shagbark hickory
F.grandifolia1,538,12,American beech
F.grandifolia2,551,13,American beech
F.grandifolia3,797,17,American beech
F.grandifolia4,514,11,American beech
F.grandifolia5,639,11,American beech
P.deltoides1,710,13,eastern cottonwood
P.deltoides2,703,14,eastern cottonwood
P.deltoides3,712,13,eastern cottonwood
P.deltoides4,830,16,eastern cottonwood
P.deltoides5,978,19,eastern cottonwood
Q.alba1,758,14,white oak
Q.alba2,106,6,white oak
Q.alba3,89,4,white oak
Q.alba4,80,4,white oak
Q.alba5,68,4,white oak
Q.rubra1,69,3,northern red oak
Q.rubra2,89,4,northern red oak
Q.rubra3,75,3,northern red oak
Q.rubra4,80,4,northern red oak
Q.rubra5,71,3,northern red oak
T.americana1,1034,17,American basswood
T.americana2,676,18,American basswood
T.americana3,1010,15,American basswood
T.americana4,665,16,American basswood
T.americana5,732,18,American basswood
