ObservedBy_Person_ID,Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Plant_Nickname,Phenophase_ID,Phenophase_Category,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No,Tmax_Winter,Tmax_Spring,Tmax_Summer,Tmax_Fall,Tmin_Winter,Tmin_Spring,Tmin_Summer,Daylength
'25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,87762,7141*A American basswood,371,Leaves,Budburst,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,2.57,13.27,26.82,17.29,-7.24,1.88,15.29,52186
'25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,87763,17527*D American basswood,371,Leaves,Budburst,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,2.57,13.27,26.82,17.29,-7.24,1.88,15.29,52186
'25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,86290,19804*A American basswood,467,Leaves,Increasing leaf size,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,2.57,13.27,26.82,17.29,-7.24,1.88,15.29,52186
'25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,87762,7141*A American basswood,467,Leaves,Increasing leaf size,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,2.57,13.27,26.82,17.29,-7.24,1.88,15.29,52186
'25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,87763,17527*D American basswood,467,Leaves,Increasing leaf size,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,2.57,13.27,26.82,17.29,-7.24,1.88,15.29,52186
'25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,86290,19804*A American basswood,483,Leaves,Leaves,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,2.57,13.27,26.82,17.29,-7.24,1.88,15.29,52186
'25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,87762,7141*A American basswood,483,Leaves,Leaves,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,2.57,13.27,26.82,17.29,-7.24,1.88,15.29,52186
'25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,87763,17527*D American basswood,483,Leaves,Leaves,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,2.57,13.27,26.82,17.29,-7.24,1.88,15.29,52186
'25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,86290,19804*A American basswood,500,Flowers,Flowers or flower buds,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,2.57,13.27,26.82,17.29,-7.24,1.88,15.29,52186
'25739',20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,Plantae,87762,7141*A American basswood,500,Flowers,Flowers or flower buds,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999,2.57,13.27,26.82,17.29,-7.24,1.88,15.29,52186
