ObservedBy_Person_ID,Partner_Group,Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Individual_ID,Phenophase_ID,Phenophase_Category,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No
'25739',Arnold Arboretum - Tree Spotters Program,20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,87762,371,Leaves,Breaking leaf buds,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999
'25739',Arnold Arboretum - Tree Spotters Program,20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,87763,371,Leaves,Breaking leaf buds,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999
'25739',Arnold Arboretum - Tree Spotters Program,20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,86290,467,Leaves,Increasing leaf size,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999
'25739',Arnold Arboretum - Tree Spotters Program,20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,87762,467,Leaves,Increasing leaf size,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999
'25739',Arnold Arboretum - Tree Spotters Program,20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,87763,467,Leaves,Increasing leaf size,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999
'25739',Arnold Arboretum - Tree Spotters Program,20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,86290,483,Leaves,Leaves,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999
'25739',Arnold Arboretum - Tree Spotters Program,20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,87762,483,Leaves,Leaves,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999
'25739',Arnold Arboretum - Tree Spotters Program,20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,87763,483,Leaves,Leaves,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999
'25739',Arnold Arboretum - Tree Spotters Program,20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,86290,500,Flowers,Flowers or flower buds,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999
'25739',Arnold Arboretum - Tree Spotters Program,20229,42.305161,-71.122452,13,MA,93,Tilia,americana,American basswood,87762,500,Flowers,Flowers or flower buds,2014,5,17,137,2456795,-9999,2014,5,17,137,2456795,-9999
