ObservedBy_Person_ID,Partner_Group,Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Plant_Nickname,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No,NumYs_in_Series,NumDays_in_Series,Multiple_Observers,Multiple_FirstY
"'43399,31240,25556,39629,39657,25505,31858,30377,34731,43627,29483,43735,47191,47328'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",371,Breaking leaf buds,2019,4,17,107,2458591,2,2019,5,11,131,2458615,1,18,25,1,1
"'25556,46947,29483'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",371,Breaking leaf buds,2019,5,15,135,2458619,3,2019,5,18,138,2458622,1,3,4,1,1
'29483',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",371,Breaking leaf buds,2019,5,22,142,2458626,1,2019,5,22,142,2458626,2,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",371,Breaking leaf buds,2019,5,30,150,2458634,2,2019,5,30,150,2458634,2,1,1,0,1
"'29483,25556,47328,46947'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",371,Breaking leaf buds,2019,6,4,155,2458639,1,2019,6,8,159,2458643,1,3,5,1,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",371,Breaking leaf buds,2019,6,12,163,2458647,3,2019,6,12,163,2458647,3,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",371,Breaking leaf buds,2019,6,22,173,2458657,6,2019,6,22,173,2458657,2,1,1,0,1
'25556',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,"12843*A, Tree 6",371,Breaking leaf buds,2019,7,4,185,2458669,4,2019,7,4,185,2458669,2,1,1,0,1
"'43399,31240,39629,39657,25505,31858,30377,34731,29483,43735'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",371,Breaking leaf buds,2019,4,17,107,2458591,2,2019,5,6,126,2458610,2,12,20,1,1
"'47191,47328,29483,47239'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",371,Breaking leaf buds,2019,5,9,129,2458613,1,2019,5,11,131,2458615,1,3,3,1,1
'29483',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",371,Breaking leaf buds,2019,5,18,138,2458622,6,2019,5,18,138,2458622,1,1,1,0,1
'29483',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",371,Breaking leaf buds,2019,5,30,150,2458634,3,2019,5,30,150,2458634,2,1,1,0,1
'29483',Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,"12843*D, Tree 7",371,Breaking leaf buds,2019,6,4,155,2458639,1,2019,6,6,157,2458641,2,2,3,0,1
"'43399,31240,25505,31858,30377,34731,43627,29483'",Arnold Arboretum - Tree Spotters Program,20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,"12843*E, Tree 9",371,Breaking leaf buds,2019,4,17,107,2458591,2,2019,5,5,125,2458609,1,11,19,1,1
