"Genus","Species","ID","year","lat","long","elev","budburst","Colored leaves","flowers","Fruits","Increasing leaf size","leaf drop","leafout","Open flowers","Pollen release (flowers)","Recent fruit or seed drop","Ripe fruits","fruits","col.leaves","leafdrop","last.obs","id_year","gdd.start"
"Acer","saccharum",92203,2016,42.303822,-71.120308,13,130,288,NA,NA,133,315,133,NA,NA,NA,NA,NA,288,315,315,"92203 2016",46
"Acer","saccharum",92203,2017,42.303822,-71.120308,13,127,294,NA,NA,131,294,131,NA,NA,NA,NA,NA,294,294,294,"92203 2017",46
"Acer","saccharum",92203,2018,42.303822,-71.120308,13,119,287,NA,NA,130,292,127,NA,NA,NA,NA,NA,287,292,292,"92203 2018",46
"Acer","saccharum",92204,2016,42.303822,-71.120308,13,109,293,105,125,113,315,112,110,112,182,262,125,293,315,315,"92204 2016",46
"Acer","saccharum",92204,2017,42.303822,-71.120308,13,101,253,105,121,110,253,108,108,113,181,202,121,253,253,253,"92204 2017",46
"Acer","saccharum",92204,2018,42.303822,-71.120308,13,118,287,119,NA,125,287,125,NA,NA,NA,NA,NA,287,287,287,"92204 2018",46
"Acer","saccharum",92206,2016,42.303822,-71.120308,13,109,293,108,127,118,NA,117,111,112,NA,262,127,293,NA,293,"92206 2016",46
"Acer","saccharum",92206,2017,42.303822,-71.120308,13,101,252,105,127,113,259,107,113,NA,172,202,127,252,259,259,"92206 2017",46
"Acer","saccharum",92206,2018,42.303822,-71.120308,13,119,287,NA,NA,NA,293,132,NA,NA,NA,NA,NA,287,293,293,"92206 2018",46
"Acer","saccharum",92208,2016,42.303822,-71.120308,13,115,286,118,152,130,NA,130,127,NA,NA,NA,152,286,NA,286,"92208 2016",46
"Acer","saccharum",92208,2017,42.303822,-71.120308,13,101,288,108,127,113,288,107,118,119,259,202,127,288,288,288,"92208 2017",46
"Acer","saccharum",92208,2018,42.303822,-71.120308,13,119,272,NA,NA,NA,278,132,NA,NA,NA,NA,NA,272,278,278,"92208 2018",46
"Acer","saccharum",92209,2016,42.296417,-71.128052,26,109,148,110,NA,124,249,116,NA,NA,NA,NA,NA,148,249,249,"92209 2016",46
"Acer","saccharum",92209,2017,42.296417,-71.128052,26,102,254,104,125,114,254,108,105,109,176,149,125,254,254,254,"92209 2017",46
"Acer","saccharum",92209,2018,42.296417,-71.128052,26,121,269,NA,NA,124,292,122,NA,146,NA,NA,NA,269,292,292,"92209 2018",46
"Aesculus","flava",85751,2016,42.305161,-71.122452,13,105,274,110,156,113,282,108,130,NA,274,274,156,274,282,282,"85751 2016",46
"Aesculus","flava",85751,2017,42.305161,-71.122452,13,108,256,119,162,110,256,108,127,NA,NA,NA,162,256,256,256,"85751 2017",46
"Aesculus","flava",85751,2018,42.305161,-71.122452,13,117,199,117,151,117,NA,117,131,NA,NA,272,151,199,NA,199,"85751 2018",46
"Aesculus","flava",85755,2016,42.305161,-71.122452,13,111,260,113,156,112,282,112,130,NA,260,262,156,260,282,282,"85755 2016",46
"Aesculus","flava",85755,2017,42.305161,-71.122452,13,108,224,108,162,110,NA,108,127,NA,NA,NA,162,224,NA,224,"85755 2017",46
"Aesculus","flava",85755,2018,42.305161,-71.122452,13,114,159,117,145,117,272,117,133,NA,263,263,145,159,272,272,"85755 2018",46
"Aesculus","flava",85756,2016,42.305161,-71.122452,13,110,262,112,156,112,279,112,130,NA,225,262,156,262,279,279,"85756 2016",46
"Aesculus","flava",85756,2017,42.305161,-71.122452,13,108,272,108,162,110,272,108,127,NA,272,NA,162,272,272,272,"85756 2017",46
"Aesculus","flava",85756,2018,42.305161,-71.122452,13,114,195,117,145,117,263,117,131,NA,263,263,145,195,263,263,"85756 2018",46
"Aesculus","flava",85757,2016,42.296417,-71.128052,26,114,148,114,153,119,220,116,133,NA,248,NA,153,148,220,220,"85757 2016",46
"Aesculus","flava",85757,2017,42.296417,-71.128052,26,104,247,134,141,109,256,109,134,NA,241,254,141,247,256,256,"85757 2017",46
"Aesculus","flava",85757,2018,42.296417,-71.128052,26,116,251,117,144,121,260,117,131,NA,251,251,144,251,260,260,"85757 2018",46
"Aesculus","flava",85758,2016,42.305161,-71.122452,13,110,252,112,144,112,266,112,130,NA,274,260,144,252,266,266,"85758 2016",46
"Aesculus","flava",85758,2017,42.305161,-71.122452,13,101,280,108,136,108,280,108,119,NA,280,NA,136,280,280,280,"85758 2017",46
"Aesculus","flava",85758,2018,42.305161,-71.122452,13,112,178,116,137,117,192,116,125,NA,259,259,137,178,192,192,"85758 2018",46
"Betula","alleghaniensis",85759,2015,42.301922,-71.123932,36,138,250,150,177,NA,250,138,NA,NA,270,240,177,250,250,250,"85759 2015",46
"Betula","alleghaniensis",85759,2016,42.301922,-71.123932,36,109,278,104,207,116,281,114,114,114,234,229,207,278,281,281,"85759 2016",46
"Betula","alleghaniensis",85759,2017,42.301922,-71.123932,36,102,242,118,139,117,242,112,118,119,NA,242,139,242,242,242,"85759 2017",46
"Betula","alleghaniensis",85759,2018,42.301922,-71.123932,36,118,256,111,144,124,256,122,124,125,278,236,144,256,256,256,"85759 2018",46
"Betula","alleghaniensis",85761,2015,42.301922,-71.123932,36,142,249,150,202,NA,270,138,158,NA,NA,243,202,249,270,270,"85761 2015",46
"Betula","alleghaniensis",85761,2016,42.301922,-71.123932,36,112,271,101,200,119,284,114,114,124,NA,229,200,271,284,284,"85761 2016",46
"Betula","alleghaniensis",85761,2017,42.301922,-71.123932,36,102,242,118,149,119,242,118,118,117,NA,251,149,242,242,242,"85761 2017",46
"Betula","alleghaniensis",85761,2018,42.301922,-71.123932,36,114,266,112,140,123,277,123,123,130,277,231,140,266,277,277,"85761 2018",46
"Betula","alleghaniensis",85762,2015,42.301922,-71.123932,36,138,250,150,177,NA,250,138,164,NA,262,240,177,250,250,250,"85762 2015",46
"Betula","alleghaniensis",85762,2016,42.301922,-71.123932,36,102,260,104,168,116,276,114,111,114,293,229,168,260,276,276,"85762 2016",46
"Betula","alleghaniensis",85762,2017,42.301922,-71.123932,36,102,242,105,149,117,242,105,112,117,NA,251,149,242,242,242,"85762 2017",46
"Betula","alleghaniensis",85762,2018,42.301922,-71.123932,36,114,272,111,144,123,277,122,122,125,278,251,144,272,277,277,"85762 2018",46
"Betula","alleghaniensis",85763,2015,42.301922,-71.123932,36,138,282,167,194,NA,258,138,167,NA,289,262,194,282,258,258,"85763 2015",46
"Betula","alleghaniensis",85763,2016,42.301922,-71.123932,36,110,281,104,207,121,289,114,114,115,NA,229,207,281,289,289,"85763 2016",46
"Betula","alleghaniensis",85763,2017,42.301922,-71.123932,36,102,251,120,139,117,288,117,120,133,NA,NA,139,251,288,288,"85763 2017",46
"Betula","alleghaniensis",85763,2018,42.301922,-71.123932,36,118,277,111,144,125,277,122,122,130,274,210,144,277,277,277,"85763 2018",46
"Betula","alleghaniensis",85764,2015,42.301922,-71.123932,36,138,247,138,173,138,250,138,138,NA,262,228,173,247,250,250,"85764 2015",46
"Betula","alleghaniensis",85764,2016,42.301922,-71.123932,36,102,260,104,NA,116,260,114,114,112,281,NA,NA,260,260,260,"85764 2016",46
"Betula","alleghaniensis",85764,2017,42.301922,-71.123932,36,102,218,108,144,117,209,117,108,110,NA,152,144,218,209,209,"85764 2017",46
"Betula","alleghaniensis",85764,2018,42.301922,-71.123932,36,114,264,118,144,123,277,121,122,NA,315,236,144,264,277,277,"85764 2018",46
"Betula","nigra",86258,2015,42.301922,-71.123932,36,138,202,172,NA,NA,282,138,NA,NA,NA,NA,NA,202,282,282,"86258 2015",46
"Betula","nigra",86258,2016,42.301922,-71.123932,36,114,281,104,165,132,281,132,120,NA,NA,NA,165,281,281,281,"86258 2016",46
"Betula","nigra",86258,2017,42.301922,-71.123932,36,100,235,112,127,119,241,118,118,117,162,162,127,235,241,241,"86258 2017",46
"Betula","nigra",86258,2018,42.301922,-71.123932,36,122,278,111,144,125,278,125,125,130,NA,156,144,278,278,278,"86258 2018",46
"Betula","nigra",86259,2015,42.301922,-71.123932,36,138,218,150,NA,NA,258,138,NA,NA,164,NA,NA,218,258,258,"86259 2015",46
"Betula","nigra",86259,2016,42.301922,-71.123932,36,111,210,111,161,130,260,127,114,114,165,165,161,210,260,260,"86259 2016",46
"Betula","nigra",86259,2017,42.301922,-71.123932,36,100,202,112,131,117,202,108,117,117,162,162,131,202,202,202,"86259 2017",46
