DATE,JULIAN,TREEID,CIRCUIT,BCON,BBRK,FBUD,FOPN,FPST,SEX,LENGTH,WIDTH,LFIN,L75,L95,TIP,COMMENTS,,
4/1/15,91,AMSP-01,1,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,FRAM-01,2,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/1/15,91,PRSE-01,3,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,ACRU-01,4,NS,0,SS,0,0,ND,-99,-99,0,0,0,0,,,
4/1/15,91,COAL-05,5,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),,
4/1/15,91,AMSP-02,6,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,ACSA-01,7,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,BELE-01,8,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,,
4/1/15,91,BEAL-01,9,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,,
4/1/15,91,QURU-01,11,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/1/15,91,QUAL-05,12,NS,0,ND,0,0,ND,0,0,0,0,0,0,new tree 2005,,
4/1/15,91,FAGR-01,13,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,ACPE-01,14,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,QUVE-01,15,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,BEPA-01,16,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,CRSP-01,17,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,ACRU-02,18,NS,0,SS,0,0,ND,-99,-99,0,0,0,0,,,
4/1/15,91,ACPE-02,19,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,FAGR-05,20,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,unhealthy-bbd&ice damage,,
4/1/15,91,ACPE-03,21,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,HAVI-01,22,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,BEAL-02,23,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,BELE-02,24,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,FAGR-06,25,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree fall 2004,,
4/1/15,91,AMSP-03,26,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,BEAL-03,27,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,HAVI-02,28,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,QURU-02,29,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/1/15,91,ACRU-03,30,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/1/15,91,ACPE-04,31,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,QUVE-02,32,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,ACRU-04,33,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,QUAL-02,34,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/1/15,91,CRSP-03,35,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,BELE-03,36,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,HAVI-03,37,NS,0,ND,0,0,ND,0,0,0,0,0,0,,,
4/1/15,91,QUVE-03,38,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,QUVE-04,39,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,QURU-03,40,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,,
4/1/15,91,CRSP-02,41,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,PRSE-02,42,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,BEPA-02,43,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,
4/1/15,91,BEPA-06,44,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 4-1-14 (03 dead),,
