DATE,JULIAN,TREEID,CIRCUIT,BCON,BBRK,FBUD,FOPN,FPST,SEX,LENGTH,WIDTH,LFIN,L75,L95,TIP,COMMENTS,
3/29/17,88,AMSP-01,1,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,FRAM-09,2,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree 2017,
3/29/17,88,PRSE-01,3,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,ACRU-01,4,SS,0,MS,0,0,ND,-99,-99,0,0,0,0,,
3/29/17,88,COAL-05,5,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
3/29/17,88,AMSP-02,6,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,ACSA-01,7,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,BELE-01,8,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
3/29/17,88,BEAL-01,9,NS,0,NS,0,0,M,0,0,0,0,0,0,,
3/29/17,88,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
3/29/17,88,QURU-01,11,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,
3/29/17,88,QUAL-05,12,NS,0,ND,0,0,ND,0,0,0,0,0,0,new tree 2005,
3/29/17,88,FAGR-01,13,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,ACPE-01,14,SS,0,ND,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,QUVE-01,15,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,BEPA-01,16,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,CRSP-01,17,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,ACRU-02,18,SS,0,MS,0,0,ND,-99,-99,0,0,0,0,,
3/29/17,88,ACPE-02,19,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,FAGR-07,20,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree 2017 (05 dead),
3/29/17,88,ACPE-03,21,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,HAVI-01,22,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,BEAL-02,23,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,BELE-02,24,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,FAGR-06,25,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree fall 2004,
3/29/17,88,AMSP-03,26,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,BEAL-03,27,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,HAVI-02,28,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,QURU-02,29,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,
3/29/17,88,ACRU-03,30,SS,0,MS,0,0,ND,-99,-99,0,0,0,0,,
3/29/17,88,ACPE-04,31,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,QUVE-05,32,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2017 (02 dead),
3/29/17,88,ACRU-04,33,SS,0,ND,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,QUAL-02,34,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,
3/29/17,88,CRSP-03,35,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,BELE-03,36,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,HAVI-03,37,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,QUVE-03,38,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,QUVE-04,39,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,QURU-03,40,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,
3/29/17,88,CRSP-02,41,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,PRSE-02,42,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,BEPA-07,43,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2017(02 dead),
3/29/17,88,BEPA-06,44,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 4-1-14 (03 dead),
3/29/17,88,BEPA-05,45,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,COAL-06,46,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 4-16-15 (03 dead),
3/29/17,88,FRAM-07,47,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree 5-1-08 (02 dead),
3/29/17,88,FAGR-04,48,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,QUAL-03,49,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,
3/29/17,88,ACSA-02,50,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,FRAM-03,51,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,POTR-05,52,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 5-19-11 (04 dead),
3/29/17,88,ACSA-04,53,SS,0,SS,0,0,ND,-99,-99,0,0,0,0,new tree fall 2007 (03 cut),
3/29/17,88,PRSE-04,54,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
3/29/17,88,QURU-04,55,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,,
3/29/17,88,ACRU-05,56,SS,0,MS,0,0,ND,0,0,0,0,0,0,,
3/29/17,88,FRAM-08,57,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree 4-1-15 (04 dead),
3/29/17,88,POTR-02,58,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,flwr buds MS,
4/10/17,100,AMSP-01,1,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/10/17,100,FRAM-09,2,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new tree 2017,
4/10/17,100,PRSE-01,3,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/10/17,100,ACRU-01,4,MS,0,VS,0,0,ND,-99,-99,0,0,0,0,,
4/10/17,100,COAL-05,5,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
4/10/17,100,AMSP-02,6,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/10/17,100,ACSA-01,7,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
4/10/17,100,BELE-01,8,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
4/10/17,100,BEAL-01,9,SS,0,NS,0,0,M,0,0,0,0,0,0,,
4/10/17,100,COAL-04,10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,dead,
4/10/17,100,QURU-01,11,SS,0,ND,0,0,ND,-99,-99,0,0,0,0,,
4/10/17,100,QUAL-05,12,NS,0,ND,0,0,ND,0,0,0,0,0,0,new tree 2005,
4/10/17,100,FAGR-01,13,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
4/10/17,100,ACPE-01,14,SS,0,ND,0,0,ND,0,0,0,0,0,0,,
4/10/17,100,QUVE-01,15,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/10/17,100,BEPA-01,16,NS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/10/17,100,CRSP-01,17,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/10/17,100,ACRU-02,18,MS,0,VS,0,0,ND,-99,-99,0,0,0,0,,
4/10/17,100,ACPE-02,19,SS,0,NS,0,0,ND,0,0,0,0,0,0,,
