"Individual_ID","Plant_Nickname"
87762,"7141*A, Tree 3"
87763,"17527*D, Tree 1"
86290,"19804*A, Tree 2"
135911,"22798*A, Tree 0"
85759,"12843*A, Tree 6"
85761,"12843*D, Tree 7"
85762,"12843*E, Tree 9"
85763,"12843*H, Tree 8"
85764,"629-83*D, Tree 10"
86258,"1199*D, Tree 5"
86259,"1251-79*A, Tree 3"
86260,"1251-79*B, Tree 2"
86261,"1199*J, Tree 1"
87754,"1251-79*E, Tree 4"
92209,"689-2010*A, Tree 7"
86289,"1323-82*A, Tree 1"
87757,"17538*A, Tree 10"
87756,"611-2010*A, Tree 8"
86278,"16611*F, Tree 2"
86279,"16611*J, Tree 3"
86280,"16611*K, Tree 4"
86281,"16611*O, Tree 5"
86282,"22099*A, Tree 6"
85757,"12651*I, Tree 9"
85755,"12651*D, Tree 6"
85756,"12651*H, Tree 5"
85758,"925-79*B, Tree 4"
85751,"12651*C, Tree 7"
86276,"14585*G, Tree 4"
86277,"14585*J American beech"
86273,"22798*A American beech"
86274,"14585*D, Tree 2"
86275,"14585*C, Tree 3"
86266,"2019*R, Tree 10"
86263,"20098*A, Tree 8"
86264,"6990*A, Tree 7"
86262,"20095*A, Tree 6"
86265,"2019*S, Tree 9"
86270,"12907*G, Tree 2"
86271,"12907*I, Tree 1"
86272,"12907*N, Tree 5"
86268,"12907*B, Tree 3"
86269,"12907*D, Tree 4"
87758,"21815*E, Tree 9"
87759,"227-2011*A, Tree 7"
88311,"22886*D, Tree 6"
87761,"358-82*A, Tree 8"
86285,"16882*B, Tree 5"
86286,"11253*A, Tree 1"
86288,"8197*A, Tree 2"
87760,"5859*A, Tree 3"
86287,"5859*B, Tree 4"
92204,"22834*B, Tree 2"
92206,"20645*A, Tree 3"
92208,"12565*C, Tree 4"
92203,"187-2006*B, Tree 1"
135343,"14585*B, Tree 1"
169171,"1104-81*A, Tree 11"
166763,"1196-84*A, Tree 5"
166764,"567-2008*B, Tree 6"
166765,"15350*A, Tree 7"
166767,"524-2009*A, Tree 9"
166766,"525-2009*A, Tree 8"
166780,"14693*B, Tree 14"
166779,"14693*A, Tree 13"
166776,"22947*B, Tree 10"
166777,"22947*C, Tree 11"
166778,"493-2009*A, Tree 12"
166768,"386-71*B, Tree 1"
166769,"285-2007*E, Tree 2"
166775,"657-2008*A, Tree 5"
166773,"529-2009*A, Tree 3"
166774,"530-2009*A, Tree 4"
169166,"593-2008*B, Tree 7"
169165,"593-2008*A, Tree 6"
169167,"593-2008*C, Tree 8"
169168,"593-2008*D, Tree 9"
